Adapt_PCName,Adapt_Account,Adapt_IP,Adapt_Facility,Adapt_System,Adapt_DHCP
F100165984,ALB Tower,10.130.56.83,ALB,ALB,No
F100166017,SHV,10.42.32.51,SHV,SHV,No
F100166173,MKG,10.35.44.54,MKG,AZO,No
F100166175,GSP,10.110.36.67,GSP,GSP,Yes
F100166215,SJC,10.12.30.107,SJC,NCT,No
F100166270,MFD,10.35.62.59,MFD-T,CLE,No
F100166300,CLT,10.110.24.151,CLT,CLT,No
F100166308,DSM,10.80.144.108,DSM,DSM,Yes
F100166323,GEG,10.20.114.108,GEG,GEG,Yes
F100166337,PWK,10.35.64.226,PWK,C90,No
F100166366,FLO,10.110.30.58,FLO,FLO,No
F100166487,A80,10.109.113.84,A80,A80,No
F100166603,D01,10.16.40.253,D01,D01,No
F100166619,ONT,10.12.90.113,ONT,SCT,No
F100166643,CMH,10.38.112.110,CMH,CMH,No
F100166681,P31,10.111.150.101,P31,P31,No
F100166693,MIA,10.110.48.188,MIA,MIA,No
F100166694,MIA,10.110.48.196,MIA,MIA,No
F100166712,JNU,10.48.17.107,JNU,A11,Yes
F100166731,MRI,10.48.78.56,MRI,A11,Yes
F100166850,D10,10.40.217.172,D10,D10,No
F100166855,GGG Tower,10.44.48.62,GGG,GGG,Yes
F100166875,C90,10.32.187.236,C90,C90,No
F100166878,CMI TRACON,10.35.78.61,CMI,CMI,Yes
F100166950,LBB,10.42.18.85,LBB,LBB,No
F100166974,VGT,10.12.122.102,VGT,L30,No
F100167436,CRQ,10.12.70.242,CRQ,SCT,No
F100167441,JAX,10.110.42.115,JAX,JAX,No
F100167450,BDL,172.22.40.82,BDL,Y90,No
F100167454,MCO,10.110.75.149,MCO,F11,No
F100167466,HSV,10.111.72.74,HSV,HSV,Yes
F100167547,CHS TRACON,10.110.22.66,CHS,CHS,No
F100167552,DFW,10.116.69.78,DFW,D10,No
F100167561,DEN,10.16.40.195,DEN,D01,No
F100167658,JAX,10.110.42.129,JAX,JAX,No
F100167683,TMB,10.110.250.46,TMB,MIA,No
F100167688,L30,10.11.138.190,L30,L30,No
F100167707,HSV,10.111.72.67,HSV,HSV,Yes
F100167757,AFW,10.42.22.58,AFW,D10,No
F100167763,MCI,10.82.68.117,MCI,MCI,No
F100167767,MKC,10.82.114.78,MKC,MCI,No
F100167783,IND,10.36.11.34,IND,IND,No
F100167824,ISP,10.131.182.217,ISP,N90,No
F100167835,LVK,10.12.86.100,LVK,NCT,No
F100167863,D21,10.38.77.134,D21,D21,No
F100167874,DEN,10.16.40.187,DEN,D01,No
F100167889,SAN,10.12.106.74,SAN,SCT,No
F100167896,YIP,10.35.94.56,YIP,D21,No
F100167903,ABQ,10.43.16.53,ABQ,ABQ,No
F100167916,ARB,10.35.106.49,ARB,D21,No
F100167935,PNE,10.131.56.54,PNE,PHL,No
F100167946,LAS,10.11.138.212,LAS,L30,No
F100167962,MCO,10.110.75.146,MCO,F11,No
F100168038,ACY,172.26.112.27,ACY,ACY,Yes
F100168043,PHL,10.128.208.52,PHL,PHL,No
F100168055,PDX,10.18.16.186,PDX,P80,No
F100168063,PHL,10.128.208.123,PHL,PHL,No
F100168076,RDU TRACON,10.110.52.107,RDU,RDU,No
F100168091,LIT Tower,10.44.24.72,LIT,LIT,No
F100168098,BFI,10.20.30.61,BFI,S46,No
F100168100,DSM,10.80.144.104,DSM,DSM,Yes
F100168104,BOS,172.22.33.109,BOS,A90,No
F100168117,S46,10.18.40.180,S46,S46,No
F100168125,BOS,172.22.33.111,BOS,A90,No
F100168134,DVT,10.13.84.140,DVT,P50,No
F100168145,MCI,10.82.68.115,MCI,MCI,No
F100168170,M98,10.38.107.158,M98,M98,No
F100168176,S46,10.18.40.150,S46,S46,No
F100168182,IND,10.32.98.78,IND,IND,No
F100168404,D10,10.40.217.140,D10,D10,No
F100168426,LGA,10.131.180.97,LGA,N90,No
F100168464,I90,10.44.245.46,I90,I90,No
F100168594,MSY,10.41.64.83,MSY,MSY,No
F100168625,PHL,10.128.208.70,PHL,PHL,No
F100168658,SMF,10.12.112.111,SMF,NCT,No
F100168705,FAY,10.110.236.66,FAY,FAY,Yes
F100168727,HPN,10.131.30.55,HPN,N90,No
F100170147,STP,10.35.54.59,STP,M98,No
F100170183,ORF,10.112.232.50,ORF,ORF,No
F100170230,GPT,10.111.198.46,GPT,GPT,No
F100170262,TUL TRACON,10.64.64.49,TUL,TUL,No
F100170293,MDT,10.131.32.61,MDT,MDT,No
F100170295,ROA,10.131.58.48,ROA,ROA,No
F100170325,BIS,10.35.96.55,BIS,BIS,Yes
F100170326,F11,10.110.74.116,F11,F11,No
F100170331,BED,172.22.30.51,BED,A90,No
